Name,idx,Value
Cu_51_87,15203,-4.49867612123489
Pt_49_70,23941,-48.3337018862367
Cu_32_55,2797,-3.66
Pt_10_31,21636,-44.7295904271305
Pt_39_88,23413,-49.564722020179
Pd_21_39,4602,-40.4
Pt_27_63,6782,-47.34
Cu_2_30,14320,-7.93530529737473
Pt_2_77,22856,-30.5247667171061
Au_9_45,2087,-2.5
Pt_22_86,22429,-45.2178830876946
Au_2_5,11528,0.808986779302359
Pd_81_86,21469,-38.8773977532983
Pd_47_61,5731,-49.74
Au_38_63,1606,-0.01
Pt_38_82,23355,-45.8366154134274
Au_53_80,12349,2.12929916009307
Pd_9_25,6379,-32.11
Ni_15_30,16658,-62.0148120820522
Cu_3_88,14777,-10.6624627560377
Pt_0_46,21580,-38.3729186318815
Ni_24_24,3565,-58.5726
Pd_11_78,20014,-27.9791282638907
Au_51_60,12252,2.02993933111429
Pt_20_22,22252,-33.8643376007676
Au_3_54,1667,4.06
Cu_22_61,14002,8.97820485755801
Ni_28_88,17572,-58.6669090464711
Ni_6_51,3787,-49.0038
Pt_41_82,23592,-39.3309759199619
Ag_61_64,9834,19.9218127131462
Ni_9_22,19905,-44.0158381350338
Au_28_75,11475,4.01763825491071
Ni_35_64,18018,-58.4393142797053
Ni_52_70,18923,-64.5575129911304
Au_7_35,13103,0.0673794448375701
Cu_1_36,13844,-1.38991526514292
Ag_72_80,10172,20.4860640615225
Cu_52_83,15236,-1.28765804320574
Ag_2_26,8402,14.3628598228097
Au_46_71,1839,7.87
Pd_3_20,5459,-37.98
Ni_7_34,19706,-69.4185817055404
Cu_7_90,16027,-1.7870200574398
Au_22_44,11204,7.98028565943241
Cu_8_78,16159,3.02693981677294
Ag_59_81,9724,23.395326398313
Cu_11_75,13441,-14.4021311663091
Ni_21_60,17138,-63.8321502171457
Pd_56_59,5971,-38.29
Ni_85_90,19815,-58.4837058261037
Ag_7_89,10348,19.405954092741
Ag_42_86,9042,5.74143336713314
Pd_49_69,5785,-44.7
Pt_39_61,23386,-49.5010108053684
Pt_76_85,24819,-52.0184028185904
Pt_43_89,23696,-46.7773686312139
Ni_14_87,16643,-74.9880320094526
Pd_24_40,4749,-33.19
Ag_22_61,7984,27.3811531290412
Ni_72_85,19575,-73.068934019655
Cu_33_37,2816,-17.756
Ag_47_90,9229,19.9166419319808
Pt_25_48,22564,-47.854565538466
Pt_1_39,22215,-39.8777889870107
Cu_81_83,16041,-6.51505069807172
Pt_73_77,24763,-26.0312849059701
Pd_23_29,4690,-35.09
Ni_33_66,17909,-63.4298809692264
Pd_5_36,6052,-37.41
Ag_54_90,9569,31.3372916206717
Pd_30_42,5087,-43.03
Pt_19_48,22157,-50.9366787970066
Pt_35_76,23195,-40.4050746709108
Pd_58_71,6012,-17.61
Pt_8_38,25021,-33.1499980315566
Pt_1_26,22203,-33.4661424010992
Ag_4_64,9354,30.6464273296297
Au_57_68,12477,6.29009408503771
Cu_21_83,13956,-6.52472259104252
Ag_54_75,9554,26.4762014523149
Pt_67_81,24577,-38.2547750174999
Pd_9_61,6415,-33.96
Au_22_59,1154,-0.07
Pd_24_64,4773,-36.17
Ni_13_52,16541,-66.7221401594579
Cu_61_81,15548,-2.38497522473335
Ni_48_61,18711,-70.2510170601308
Ag_24_73,8108,16.0469467826188
Pt_35_50,23169,-42.8359802812338
Cu_14_65,2333,-6.84
Ni_12_12,16449,-62.8319383375347
Ni_32_32,3609,-71.31
Ag_59_85,9728,20.5233225785196
Pt_19_53,22162,-46.8612717576325
Pd_29_87,20400,-47.0020906142891
Pd_33_74,20483,-36.457590252161
Pt_0_36,21572,-31.6912043616176
Pt_10_64,21663,-46.0943154357374
Ag_35_59,8709,21.0768884569406
Cu_58_82,15424,-6.28939126431942
Cu_5_54,3259,1.67
Au_74_74,13001,2.95597387477756
Pd_12_37,4048,-36.19
Au_39_60,1635,0.07
Ni_22_77,17204,-44.380761500448
Ni_86_87,19817,-76.9898951649666
Ag_75_88,10231,15.1869084984064
Pt_62_63,6960,-52.76
Pt_12_70,6530,-43.3
Pd_43_63,5628,-42.38
Ag_16_46,7535,17.576352763921
Au_18_44,10990,11.8934337198734
Ni_47_77,18684,-55.2318952195346
Pd_4_88,20845,-31.5490642674267
Ni_28_59,3582,-49.3199
Pt_23_28,22435,-23.8890634514391
Ni_14_38,3445,-68.75
Pd_11_69,4020,-32.22
Ni_31_44,17778,-72.594521805644
Ag_29_70,276,8.55809
Cu_19_41,2427,-15.1619
Cu_32_74,14476,-11.7524051889777
Cu_11_79,13445,-5.84994516521692
Pd_61_65,6109,-41.9
Au_7_46,2038,-2.14139
Pt_15_55,21905,-42.9198173508048
Au_67_86,12817,-1.71765996143222
Au_12_13,10674,1.92958127334714
Au_37_74,11801,9.52138362079859
Au_78_84,13069,14.5551444403827
Ag_26_32,232,9.72
Au_28_80,11480,9.44267690181732
Pt_80_85,24949,-49.9014280773699
Ag_40_90,8974,21.9195420965552
Ag_11_25,7215,18.2434277459979
Pt_47_49,23837,-59.1003592312336
Ag_14_70,7428,14.9855645671487
Cu_43_67,14879,3.33101246505976
Ni_56_78,19045,-55.2838326618075
Pd_29_41,4974,-45.67
Pt_18_21,6621,-23.4145
Ni_32_34,17825,-72.2487848140299
Cu_6_83,15776,-8.13517418503761
Ag_29_68,8366,26.713409088552
Cu_2_79,14339,0.250039484351873
Ag_82_89,10379,19.9856341928244
Pt_9_62,7044,-45.54
Cu_12_36,13466,-18.354111213237
Au_19_40,1023,-7.03575
Ni_40_73,18367,-59.7222239971161
Ag_63_76,9900,14.4839513525367
Cu_21_69,2546,-11.68
Cu_4_38,15099,-7.72784433886409
Ni_27_40,17470,-71.349844366312
Ag_35_77,8724,24.2685695253313
Cu_25_31,14137,-12.538737822324
Pt_45_72,23771,-48.8388517349958
Cu_54_58,15283,2.03030374273658
Pt_15_50,6603,-39.99
Au_0_5,10566,9.54355173557997
Pd_79_85,21428,-44.2443132475019
Pd_40_80,20644,-46.6072580739856
Cu_16_45,13653,-4.35444669798017
Cu_31_37,14416,-10.7633366622031
Au_75_83,13026,0.549143593758345
Au_28_60,1290,2.78
Au_66_70,12779,3.06590256094933
Ni_45_73,18593,-65.4344747178257
Ag_50_73,9400,24.5770980231464
Cu_31_68,14442,-4.63719177991152
Ag_23_71,206,37.46
Au_13_19,847,-0.67
Ni_34_62,17961,-69.4331919662654
Ag_18_70,7673,28.7453061789274
Pd_1_49,4505,-26.66
Ag_29_72,8369,10.4541403017938
Au_15_56,928,2.81
Ni_16_24,16715,-50.5868517197669
Pd_66_74,21177,-32.5440139956772
Ag_9_77,10530,24.5372348502278
Ag_67_87,10012,24.0810597389936
Ag_42_68,9026,20.4014443159103
Pt_4_81,24016,-19.2903725244105
Pd_63_66,6129,-36.48
Ag_48_90,9267,24.7828613556921
Pt_23_61,22461,-31.2235752604902
Pt_72_87,24755,-50.981287419796
Ag_11_58,7236,23.2312594801188
Pt_0_47,21581,-32.5566597618163
Pt_29_86,22798,-55.3849755376577
Cu_5_16,15463,3.68670719116926
Ni_25_80,17383,-64.4457488693297
Ag_68_75,10020,25.1377254091203
Pd_26_83,20338,-34.7988859377801
Cu_40_79,14801,-10.2534800544381
Au_31_90,11651,11.2430087551475
Ag_4_21,9312,27.619900457561
Au_18_36,10982,9.82218297570944
Cu_49_58,3155,-9.36
Cu_55_67,15327,10.3161518909037
