Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_B
Cu,S4_S6,S4,S6,Cu_S4_S6,-0.04030969745535305,-0.40730844598800536,-0.44761814344335843,0.5387757477252757,-21.469485378509155,-21.71065117843825
Cu,S5_S6,S5,S6,Cu_S5_S6,0.6168351220828026,-0.40730844598800536,0.2095266760947972,0.5387757477252757,-21.469485378509155,-21.35659748692779
Ni,R1_R10,R1,R10,Ni_R1_R10,-0.8559472897733335,1.3433050596895983,0.4873577699162649,0.7949857513078188,-14.52249682154781,-14.135054338675225
Ni,R1_R11,R1,R11,Ni_R1_R11,-0.8559472897733335,0.860875046490288,0.004927756716954557,0.7949857513078188,-14.52249682154781,-14.518579325171919
Ni,R1_R2,R1,R2,Ni_R1_R2,-0.8559472897733335,0.8325384607139531,-0.023408829059380354,0.7949857513078188,-14.52249682154781,-14.541106507104818
Ni,R1_R3,R1,R3,Ni_R1_R3,-0.8559472897733335,4.392157809317963,3.5362105195446296,0.7949857513078188,-14.52249682154781,-11.71125984488501
Ni,R1_R4,R1,R4,Ni_R1_R4,-0.8559472897733335,-1.2635151902393214,-2.119462480012655,0.7949857513078188,-14.52249682154781,-16.207439293589402
Ni,R1_R5,R1,R5,Ni_R1_R5,-0.8559472897733335,-0.5718354612129694,-1.4277827509863028,0.7949857513078188,-14.52249682154781,-15.657563764545
Ni,R1_R6,R1,R6,Ni_R1_R6,-0.8559472897733335,-0.561717064835037,-1.4176643546083705,0.7949857513078188,-14.52249682154781,-15.649519783598459
Ni,R1_R7,R1,R7,Ni_R1_R7,-0.8559472897733335,-1.55002389887471,-2.4059711886480435,0.7949857513078188,-14.52249682154781,-16.43520963458014
Ni,R1_R8,R1,R8,Ni_R1_R8,-0.8559472897733335,0.0303218676247531,-0.8256254221485804,0.7949857513078188,-14.52249682154781,-15.178857268073434
Ni,R1_R9,R1,R9,Ni_R1_R9,-0.8559472897733335,0.00535366903797795,-0.8505936207353555,0.7949857513078188,-14.52249682154781,-15.198706630185743
Ni,R1_S1,R1,S1,Ni_R1_S1,-0.8559472897733335,-5.12900551759937,-5.984952807372704,0.7949857513078188,-14.52249682154781,-19.28044902565884
Ni,R1_S2,R1,S2,Ni_R1_S2,-0.8559472897733335,0.662647055369742,-0.19330023440359145,0.7949857513078188,-14.52249682154781,-14.676167753623126
Ni,R1_S3,R1,S3,Ni_R1_S3,-0.8559472897733335,-0.5099752426711592,-1.3659225324444928,0.7949857513078188,-14.52249682154781,-15.608385772231474
Ni,R1_S4,R1,S4,Ni_R1_S4,-0.8559472897733335,-0.04030969745535305,-0.8962569872286865,0.7949857513078188,-14.52249682154781,-15.23500835590469
Ni,R1_S5,R1,S5,Ni_R1_S5,-0.8559472897733335,0.6168351220828026,-0.2391121676905309,0.7949857513078188,-14.52249682154781,-14.712587587826107
Ni,R1_S6,R1,S6,Ni_R1_S6,-0.8559472897733335,-0.40730844598800536,-1.2632557357613388,0.7949857513078188,-14.52249682154781,-15.52676713173595
Ni,R10_R11,R10,R11,Ni_R10_R11,1.3433050596895983,0.860875046490288,2.2041801061798862,0.7949857513078188,-14.52249682154781,-12.770205043818645
Ni,R10_R2,R10,R2,Ni_R10_R2,1.3433050596895983,0.8325384607139531,2.1758435204035513,0.7949857513078188,-14.52249682154781,-12.792732225751543
Ni,R10_R3,R10,R3,Ni_R10_R3,1.3433050596895983,4.392157809317963,5.735462869007561,0.7949857513078188,-14.52249682154781,-9.962885563531735
Ni,R10_R4,R10,R4,Ni_R10_R4,1.3433050596895983,-1.2635151902393214,0.079789869450277,0.7949857513078188,-14.52249682154781,-14.459065012236128
Ni,R10_R5,R10,R5,Ni_R10_R5,1.3433050596895983,-0.5718354612129694,0.771469598476629,0.7949857513078188,-14.52249682154781,-13.909189483191726
Ni,R10_R6,R10,R6,Ni_R10_R6,1.3433050596895983,-0.561717064835037,0.7815879948545613,0.7949857513078188,-14.52249682154781,-13.901145502245186
Ni,R10_R7,R10,R7,Ni_R10_R7,1.3433050596895983,-1.55002389887471,-0.20671883918511158,0.7949857513078188,-14.52249682154781,-14.686835353226865
Ni,R10_R8,R10,R8,Ni_R10_R8,1.3433050596895983,0.0303218676247531,1.3736269273143515,0.7949857513078188,-14.52249682154781,-13.43048298672016
Ni,R10_R9,R10,R9,Ni_R10_R9,1.3433050596895983,0.00535366903797795,1.3486587287275762,0.7949857513078188,-14.52249682154781,-13.45033234883247
Ni,R10_S1,R10,S1,Ni_R10_S1,1.3433050596895983,-5.12900551759937,-3.7857004579097717,0.7949857513078188,-14.52249682154781,-17.532074744305564
Ni,R10_S2,R10,S2,Ni_R10_S2,1.3433050596895983,0.662647055369742,2.0059521150593405,0.7949857513078188,-14.52249682154781,-12.927793472269851
Ni,R10_S3,R10,S3,Ni_R10_S3,1.3433050596895983,-0.5099752426711592,0.8333298170184391,0.7949857513078188,-14.52249682154781,-13.860011490878199
Ni,R10_S4,R10,S4,Ni_R10_S4,1.3433050596895983,-0.04030969745535305,1.3029953622342454,0.7949857513078188,-14.52249682154781,-13.486634074551414
Ni,R10_S5,R10,S5,Ni_R10_S5,1.3433050596895983,0.6168351220828026,1.960140181772401,0.7949857513078188,-14.52249682154781,-12.964213306472834
Ni,R10_S6,R10,S6,Ni_R10_S6,1.3433050596895983,-0.40730844598800536,0.9359966137015929,0.7949857513078188,-14.52249682154781,-13.778392850382675
Ni,R11_R2,R11,R2,Ni_R11_R2,0.860875046490288,0.8325384607139531,1.693413507204241,0.7949857513078188,-14.52249682154781,-13.176257212248238
Ni,R11_R3,R11,R3,Ni_R11_R3,0.860875046490288,4.392157809317963,5.253032855808251,0.7949857513078188,-14.52249682154781,-10.34641055002843
Ni,R11_R4,R11,R4,Ni_R11_R4,0.860875046490288,-1.2635151902393214,-0.40264014374903334,0.7949857513078188,-14.52249682154781,-14.842589998732823
Ni,R11_R5,R11,R5,Ni_R11_R5,0.860875046490288,-0.5718354612129694,0.28903958527731866,0.7949857513078188,-14.52249682154781,-14.29271446968842
Ni,R11_R6,R11,R6,Ni_R11_R6,0.860875046490288,-0.561717064835037,0.299157981655251,0.7949857513078188,-14.52249682154781,-14.28467048874188
Ni,R11_R7,R11,R7,Ni_R11_R7,0.860875046490288,-1.55002389887471,-0.6891488523844219,0.7949857513078188,-14.52249682154781,-15.07036033972356
Ni,R11_R8,R11,R8,Ni_R11_R8,0.860875046490288,0.0303218676247531,0.8911969141150411,0.7949857513078188,-14.52249682154781,-13.814007973216855
Ni,R11_R9,R11,R9,Ni_R11_R9,0.860875046490288,0.00535366903797795,0.866228715528266,0.7949857513078188,-14.52249682154781,-13.833857335329164
Ni,R11_S1,R11,S1,Ni_R11_S1,0.860875046490288,-5.12900551759937,-4.268130471109082,0.7949857513078188,-14.52249682154781,-17.915599730802256
Ni,R11_S2,R11,S2,Ni_R11_S2,0.860875046490288,0.662647055369742,1.52352210186003,0.7949857513078188,-14.52249682154781,-13.311318458766547
Ni,R11_S3,R11,S3,Ni_R11_S3,0.860875046490288,-0.5099752426711592,0.3508998038191288,0.7949857513078188,-14.52249682154781,-14.243536477374894
Ni,R11_S4,R11,S4,Ni_R11_S4,0.860875046490288,-0.04030969745535305,0.8205653490349349,0.7949857513078188,-14.52249682154781,-13.87015906104811
