Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_A
Ni,S2_S6,S2,S6,Ni_S2_S6,-4.532983594283895,-8.841235349302753,-13.374218943586648,0.861175373448876,-62.15678152866472,-73.67432952199499
Ni,S3_S4,S3,S4,Ni_S3_S4,-9.072089386446372,-8.232887404129688,-17.30497679057606,0.861175373448876,-62.15678152866472,-77.05940137881319
Ni,S3_S5,S3,S5,Ni_S3_S5,-9.072089386446372,0.0401816295133296,-9.031907756933043,0.861175373448876,-62.15678152866472,-69.93483806419734
Ni,S3_S6,S3,S6,Ni_S3_S6,-9.072089386446372,-8.841235349302753,-17.913324735749125,0.861175373448876,-62.15678152866472,-77.58329564768447
Ni,S4_S5,S4,S5,Ni_S4_S5,-8.232887404129688,0.0401816295133296,-8.192705774616359,0.861175373448876,-62.15678152866472,-69.21213798367673
Ni,S4_S6,S4,S6,Ni_S4_S6,-8.232887404129688,-8.841235349302753,-17.07412275343244,0.861175373448876,-62.15678152866472,-76.86059556716386
Ni,S5_S6,S5,S6,Ni_S5_S6,0.0401816295133296,-8.841235349302753,-8.801053719789424,0.861175373448876,-62.15678152866472,-69.736032252548
Pd,R1_R10,R1,R10,Pd_R1_R10,-0.1129189217621833,0.8635763395483183,0.7506574177861349,0.5794859504566918,-29.4447663346112,-29.009770907398035
Pd,R1_R11,R1,R11,Pd_R1_R11,-0.1129189217621833,-0.38101781795195944,-0.49393673971414276,0.5794859504566918,-29.4447663346112,-29.730995735689927
Pd,R1_R2,R1,R2,Pd_R1_R2,-0.1129189217621833,-2.987423267400209,-3.100342189162392,0.5794859504566918,-29.4447663346112,-31.24137107483895
Pd,R1_R3,R1,R3,Pd_R1_R3,-0.1129189217621833,19.95471326932538,19.841794347563198,0.5794859504566918,-29.4447663346112,-17.946725278347323
Pd,R1_R4,R1,R4,Pd_R1_R4,-0.1129189217621833,0.2370714737056329,0.1241525519434496,0.5794859504566918,-29.4447663346112,-29.372821675046627
Pd,R1_R5,R1,R5,Pd_R1_R5,-0.1129189217621833,-1.3445142333640794,-1.4574331551262627,0.5794859504566918,-29.4447663346112,-30.289328371736637
Pd,R1_R6,R1,R6,Pd_R1_R6,-0.1129189217621833,-0.1765572858634142,-0.2894762076255975,0.5794859504566918,-29.4447663346112,-29.612513729921716
Pd,R1_R7,R1,R7,Pd_R1_R7,-0.1129189217621833,0.31307883173711387,0.20015990997493058,0.5794859504566918,-29.4447663346112,-29.32877647893605
Pd,R1_R8,R1,R8,Pd_R1_R8,-0.1129189217621833,10.3478936396416,10.234974717879416,0.5794859504566918,-29.4447663346112,-23.513742282320635
Pd,R1_R9,R1,R9,Pd_R1_R9,-0.1129189217621833,13.723859477181083,13.6109405554189,0.5794859504566918,-29.4447663346112,-21.557417510244747
Pd,R1_S1,R1,S1,Pd_R1_S1,-0.1129189217621833,14.866904415760592,14.753985493998409,0.5794859504566918,-29.4447663346112,-20.895039027597285
Pd,R1_S2,R1,S2,Pd_R1_S2,-0.1129189217621833,-4.532983594283895,-4.645902516046078,0.5794859504566918,-29.4447663346112,-32.13700156985129
Pd,R1_S3,R1,S3,Pd_R1_S3,-0.1129189217621833,-9.072089386446372,-9.185008308208555,0.5794859504566918,-29.4447663346112,-34.767349604046046
Pd,R1_S4,R1,S4,Pd_R1_S4,-0.1129189217621833,-8.232887404129688,-8.345806325891871,0.5794859504566918,-29.4447663346112,-34.28104384569812
Pd,R1_S5,R1,S5,Pd_R1_S5,-0.1129189217621833,0.0401816295133296,-0.0727372922488537,0.5794859504566918,-29.4447663346112,-29.48691657354367
Pd,R1_S6,R1,S6,Pd_R1_S6,-0.1129189217621833,-8.841235349302753,-8.954154271064937,0.5794859504566918,-29.4447663346112,-34.63357293291511
Pd,R10_R11,R10,R11,Pd_R10_R11,0.8635763395483183,-0.38101781795195944,0.4825585215963588,0.5794859504566918,-29.4447663346112,-29.165130451072958
Pd,R10_R2,R10,R2,Pd_R10_R2,0.8635763395483183,-2.987423267400209,-2.1238469278518908,0.5794859504566918,-29.4447663346112,-30.675505790221976
Pd,R10_R3,R10,R3,Pd_R10_R3,0.8635763395483183,19.95471326932538,20.818289608873698,0.5794859504566918,-29.4447663346112,-17.380859993730354
Pd,R10_R4,R10,R4,Pd_R10_R4,0.8635763395483183,0.2370714737056329,1.1006478132539512,0.5794859504566918,-29.4447663346112,-28.806956390429654
Pd,R10_R5,R10,R5,Pd_R10_R5,0.8635763395483183,-1.3445142333640794,-0.48093789381576113,0.5794859504566918,-29.4447663346112,-29.723463087119665
Pd,R10_R6,R10,R6,Pd_R10_R6,0.8635763395483183,-0.1765572858634142,0.687019053684904,0.5794859504566918,-29.4447663346112,-29.046648445304744
Pd,R10_R7,R10,R7,Pd_R10_R7,0.8635763395483183,0.31307883173711387,1.176655171285432,0.5794859504566918,-29.4447663346112,-28.762911194319077
Pd,R10_R8,R10,R8,Pd_R10_R8,0.8635763395483183,10.3478936396416,11.211469979189918,0.5794859504566918,-29.4447663346112,-22.947876997703663
Pd,R10_R9,R10,R9,Pd_R10_R9,0.8635763395483183,13.723859477181083,14.587435816729402,0.5794859504566918,-29.4447663346112,-20.99155222562777
