Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_C
Pd,R6_S1,R6,S1,Pd_R6_S1,0.05186161340941125,-9.158255511374229,-9.106393897964818,0.5922893438895893,-26.87837216318187,-32.27199223020761
Pd,R6_S2,R6,S2,Pd_R6_S2,0.05186161340941125,2.579258072832707,2.6311196862421182,0.5922893438895893,-26.87837216318187,-25.319988010522543
Pd,R6_S3,R6,S3,Pd_R6_S3,0.05186161340941125,8.269724236093856,8.321585849503267,0.5922893438895893,-26.87837216318187,-21.94958554025869
Pd,R6_S4,R6,S4,Pd_R6_S4,0.05186161340941125,6.926284812115375,6.978146425524786,0.5922893438895893,-26.87837216318187,-22.74529039524231
Pd,R6_S5,R6,S5,Pd_R6_S5,0.05186161340941125,-1.6316010428853815,-1.5797394294759703,0.5922893438895893,-26.87837216318187,-27.814034993382705
Pd,R6_S6,R6,S6,Pd_R6_S6,0.05186161340941125,8.035351954600149,8.08721356800956,0.5922893438895893,-26.87837216318187,-22.0884017450905
Pd,R7_R8,R7,R8,Pd_R7_R8,0.7136130565943593,-10.520879474540566,-9.807266417946206,0.5922893438895893,-26.87837216318187,-32.687111555217626
Pd,R7_R9,R7,R9,Pd_R7_R9,0.7136130565943593,-13.438588550042265,-12.724975493447905,0.5922893438895893,-26.87837216318187,-34.41523954920723
Pd,R7_S1,R7,S1,Pd_R7_S1,0.7136130565943593,-9.158255511374229,-8.444642454779869,0.5922893438895893,-26.87837216318187,-31.88004390210561
Pd,R7_S2,R7,S2,Pd_R7_S2,0.7136130565943593,2.579258072832707,3.2928711294270663,0.5922893438895893,-26.87837216318187,-24.92803968242054
Pd,R7_S3,R7,S3,Pd_R7_S3,0.7136130565943593,8.269724236093856,8.983337292688216,0.5922893438895893,-26.87837216318187,-21.557637212156685
Pd,R7_S4,R7,S4,Pd_R7_S4,0.7136130565943593,6.926284812115375,7.639897868709734,0.5922893438895893,-26.87837216318187,-22.35334206714031
Pd,R7_S5,R7,S5,Pd_R7_S5,0.7136130565943593,-1.6316010428853815,-0.9179879862910223,0.5922893438895893,-26.87837216318187,-27.422086665280702
Pd,R7_S6,R7,S6,Pd_R7_S6,0.7136130565943593,8.035351954600149,8.748965011194509,0.5922893438895893,-26.87837216318187,-21.6964534169885
Pd,R8_R9,R8,R9,Pd_R8_R9,-10.520879474540566,-13.438588550042265,-23.959468024582833,0.5922893438895893,-26.87837216318187,-41.06930975940563
Pd,R8_S1,R8,S1,Pd_R8_S1,-10.520879474540566,-9.158255511374229,-19.679134985914793,0.5922893438895893,-26.87837216318187,-38.534114112304
Pd,R8_S2,R8,S2,Pd_R8_S2,-10.520879474540566,2.579258072832707,-7.9416214017078595,0.5922893438895893,-26.87837216318187,-31.582109892618938
Pd,R8_S3,R8,S3,Pd_R8_S3,-10.520879474540566,8.269724236093856,-2.25115523844671,0.5922893438895893,-26.87837216318187,-28.211707422355083
Pd,R8_S4,R8,S4,Pd_R8_S4,-10.520879474540566,6.926284812115375,-3.594594662425191,0.5922893438895893,-26.87837216318187,-29.007412277338705
Pd,R8_S5,R8,S5,Pd_R8_S5,-10.520879474540566,-1.6316010428853815,-12.152480517425948,0.5922893438895893,-26.87837216318187,-34.0761568754791
Pd,R8_S6,R8,S6,Pd_R8_S6,-10.520879474540566,8.035351954600149,-2.485527519940417,0.5922893438895893,-26.87837216318187,-28.350523627186895
Pd,R9_S1,R9,S1,Pd_R9_S1,-13.438588550042265,-9.158255511374229,-22.596844061416494,0.5922893438895893,-26.87837216318187,-40.262242106293606
Pd,R9_S2,R9,S2,Pd_R9_S2,-13.438588550042265,2.579258072832707,-10.859330477209559,0.5922893438895893,-26.87837216318187,-33.31023788660854
Pd,R9_S3,R9,S3,Pd_R9_S3,-13.438588550042265,8.269724236093856,-5.16886431394841,0.5922893438895893,-26.87837216318187,-29.939835416344685
Pd,R9_S4,R9,S4,Pd_R9_S4,-13.438588550042265,6.926284812115375,-6.51230373792689,0.5922893438895893,-26.87837216318187,-30.735540271328308
Pd,R9_S5,R9,S5,Pd_R9_S5,-13.438588550042265,-1.6316010428853815,-15.070189592927647,0.5922893438895893,-26.87837216318187,-35.8042848694687
Pd,R9_S6,R9,S6,Pd_R9_S6,-13.438588550042265,8.035351954600149,-5.403236595442117,0.5922893438895893,-26.87837216318187,-30.078651621176498
Pd,S1_S2,S1,S2,Pd_S1_S2,-9.158255511374229,2.579258072832707,-6.578997438541522,0.5922893438895893,-26.87837216318187,-30.775042239506917
Pd,S1_S3,S1,S3,Pd_S1_S3,-9.158255511374229,8.269724236093856,-0.8885312752803731,0.5922893438895893,-26.87837216318187,-27.40463976924306
Pd,S1_S4,S1,S4,Pd_S1_S4,-9.158255511374229,6.926284812115375,-2.231970699258854,0.5922893438895893,-26.87837216318187,-28.200344624226684
Pd,S1_S5,S1,S5,Pd_S1_S5,-9.158255511374229,-1.6316010428853815,-10.789856554259611,0.5922893438895893,-26.87837216318187,-33.26908922236708
Pd,S1_S6,S1,S6,Pd_S1_S6,-9.158255511374229,8.035351954600149,-1.1229035567740802,0.5922893438895893,-26.87837216318187,-27.543455974074874
Pd,S2_S3,S2,S3,Pd_S2_S3,2.579258072832707,8.269724236093856,10.848982308926562,0.5922893438895893,-26.87837216318187,-20.452635549557993
Pd,S2_S4,S2,S4,Pd_S2_S4,2.579258072832707,6.926284812115375,9.505542884948081,0.5922893438895893,-26.87837216318187,-21.248340404541615
Pd,S2_S5,S2,S5,Pd_S2_S5,2.579258072832707,-1.6316010428853815,0.9476570299473253,0.5922893438895893,-26.87837216318187,-26.31708500268201
Pd,S2_S6,S2,S6,Pd_S2_S6,2.579258072832707,8.035351954600149,10.614610027432855,0.5922893438895893,-26.87837216318187,-20.59145175438981
Pd,S3_S4,S3,S4,Pd_S3_S4,8.269724236093856,6.926284812115375,15.19600904820923,0.5922893438895893,-26.87837216318187,-17.87793793427776
Pd,S3_S5,S3,S5,Pd_S3_S5,8.269724236093856,-1.6316010428853815,6.638123193208474,0.5922893438895893,-26.87837216318187,-22.946682532418155
Pd,S3_S6,S3,S6,Pd_S3_S6,8.269724236093856,8.035351954600149,16.305076190694002,0.5922893438895893,-26.87837216318187,-17.221049284125954
Pd,S4_S5,S4,S5,Pd_S4_S5,6.926284812115375,-1.6316010428853815,5.2946837692299935,0.5922893438895893,-26.87837216318187,-23.742387387401777
Pd,S4_S6,S4,S6,Pd_S4_S6,6.926284812115375,8.035351954600149,14.961636766715523,0.5922893438895893,-26.87837216318187,-18.016754139109572
Pd,S5_S6,S5,S6,Pd_S5_S6,-1.6316010428853815,8.035351954600149,6.403750911714767,0.5922893438895893,-26.87837216318187,-23.08549873724997
Pt,R1_R10,R1,R10,Pt_R1_R10,0.2981030904618662,-2.7925979137483936,-2.4944948232865274,0.6652986217594016,-15.032212083486629,-16.691796051405117
Pt,R1_R11,R1,R11,Pt_R1_R11,0.2981030904618662,-0.9405513924100798,-0.6424483019482136,0.6652986217594016,-15.032212083486629,-15.459632053324443
Pt,R1_R2,R1,R2,Pt_R1_R2,0.2981030904618662,1.2786072800790809,1.576710370540947,0.6652986217594016,-15.032212083486629,-13.983228847051981
Pt,R1_R3,R1,R3,Pt_R1_R3,0.2981030904618662,-24.32260478842992,-24.024501697968056,0.6652986217594016,-15.032212083486629,-31.01567995160118
Pt,R1_R4,R1,R4,Pt_R1_R4,0.2981030904618662,0.42904203418192965,0.7271451246437959,0.6652986217594016,-15.032212083486629,-14.548443434242042
Pt,R1_R5,R1,R5,Pt_R1_R5,0.2981030904618662,1.2040603594134265,1.5021634498752927,0.6652986217594016,-15.032212083486629,-14.032824810627249
Pt,R1_R6,R1,R6,Pt_R1_R6,0.2981030904618662,0.05186161340941125,0.3499647038712775,0.6652986217594016,-15.032212083486629,-14.799381048336631
Pt,R1_R7,R1,R7,Pt_R1_R7,0.2981030904618662,0.7136130565943593,1.0117161470562255,0.6652986217594016,-15.032212083486629,-14.359118725238389
Pt,R1_R8,R1,R8,Pt_R1_R8,0.2981030904618662,-10.520879474540566,-10.2227763840787,0.6652986217594016,-15.032212083486629,-21.833411122368744
Pt,R1_R9,R1,R9,Pt_R1_R9,0.2981030904618662,-13.438588550042265,-13.140485459580399,0.6652986217594016,-15.032212083486629,-23.774558948994923
Pt,R1_S1,R1,S1,Pt_R1_S1,0.2981030904618662,-9.158255511374229,-8.860152420912362,0.6652986217594016,-15.032212083486629,-20.926859277697847
Pt,R1_S2,R1,S2,Pt_R1_S2,0.2981030904618662,2.579258072832707,2.877361163294573,0.6652986217594016,-15.032212083486629,-13.11790766724272
Pt,R1_S3,R1,S3,Pt_R1_S3,0.2981030904618662,8.269724236093856,8.567827326555722,0.6652986217594016,-15.032212083486629,-9.332048371656569
Pt,R1_S4,R1,S4,Pt_R1_S4,0.2981030904618662,6.926284812115375,7.2243879025772415,0.6652986217594016,-15.032212083486629,-10.225836768846696
Pt,R1_S5,R1,S5,Pt_R1_S5,0.2981030904618662,-1.6316010428853815,-1.3334979524235153,0.6652986217594016,-15.032212083486629,-15.919386433352978
Pt,R1_S6,R1,S6,Pt_R1_S6,0.2981030904618662,8.035351954600149,8.333455045062015,0.6652986217594016,-15.032212083486629,-9.487975927512938
Pt,R10_R11,R10,R11,Pt_R10_R11,-2.7925979137483936,-0.9405513924100798,-3.7331493061584733,0.6652986217594016,-15.032212083486629,-17.515871171695927
Pt,R10_R2,R10,R2,Pt_R10_R2,-2.7925979137483936,1.2786072800790809,-1.5139906336693127,0.6652986217594016,-15.032212083486629,-16.039467965423466
Pt,R10_R3,R10,R3,Pt_R10_R3,-2.7925979137483936,-24.32260478842992,-27.115202702178316,0.6652986217594016,-15.032212083486629,-33.071919069972665
Pt,R10_R4,R10,R4,Pt_R10_R4,-2.7925979137483936,0.42904203418192965,-2.363555879566464,0.6652986217594016,-15.032212083486629,-16.60468255261353
Pt,R10_R5,R10,R5,Pt_R10_R5,-2.7925979137483936,1.2040603594134265,-1.5885375543349671,0.6652986217594016,-15.032212083486629,-16.089063928998733
Pt,R10_R6,R10,R6,Pt_R10_R6,-2.7925979137483936,0.05186161340941125,-2.740736300338982,0.6652986217594016,-15.032212083486629,-16.855620166708114
Pt,R10_R7,R10,R7,Pt_R10_R7,-2.7925979137483936,0.7136130565943593,-2.078984857154034,0.6652986217594016,-15.032212083486629,-16.415357843609875
Pt,R10_R8,R10,R8,Pt_R10_R8,-2.7925979137483936,-10.520879474540566,-13.313477388288959,0.6652986217594016,-15.032212083486629,-23.88965024074023
Pt,R10_R9,R10,R9,Pt_R10_R9,-2.7925979137483936,-13.438588550042265,-16.23118646379066,0.6652986217594016,-15.032212083486629,-25.83079806736641
Pt,R10_S1,R10,S1,Pt_R10_S1,-2.7925979137483936,-9.158255511374229,-11.950853425122622,0.6652986217594016,-15.032212083486629,-22.983098396069334
Pt,R10_S2,R10,S2,Pt_R10_S2,-2.7925979137483936,2.579258072832707,-0.2133398409156868,0.6652986217594016,-15.032212083486629,-15.174146785614205
Pt,R10_S3,R10,S3,Pt_R10_S3,-2.7925979137483936,8.269724236093856,5.4771263223454625,0.6652986217594016,-15.032212083486629,-11.388287490028052
Pt,R10_S4,R10,S4,Pt_R10_S4,-2.7925979137483936,6.926284812115375,4.133686898366982,0.6652986217594016,-15.032212083486629,-12.28207588721818
Pt,R10_S5,R10,S5,Pt_R10_S5,-2.7925979137483936,-1.6316010428853815,-4.424198956633775,0.6652986217594016,-15.032212083486629,-17.975625551724463
Pt,R10_S6,R10,S6,Pt_R10_S6,-2.7925979137483936,8.035351954600149,5.2427540408517554,0.6652986217594016,-15.032212083486629,-11.544215045884423
Pt,R11_R2,R11,R2,Pt_R11_R2,-0.9405513924100798,1.2786072800790809,0.3380558876690011,0.6652986217594016,-15.032212083486629,-14.807303967342792
Pt,R11_R3,R11,R3,Pt_R11_R3,-0.9405513924100798,-24.32260478842992,-25.26315618084,0.6652986217594016,-15.032212083486629,-31.839755071891986
Pt,R11_R4,R11,R4,Pt_R11_R4,-0.9405513924100798,0.42904203418192965,-0.5115093582281501,0.6652986217594016,-15.032212083486629,-15.372518554532853
Pt,R11_R5,R11,R5,Pt_R11_R5,-0.9405513924100798,1.2040603594134265,0.2635089670033467,0.6652986217594016,-15.032212083486629,-14.856899930918058
Pt,R11_R6,R11,R6,Pt_R11_R6,-0.9405513924100798,0.05186161340941125,-0.8886897790006686,0.6652986217594016,-15.032212083486629,-15.62345616862744
Pt,R11_R7,R11,R7,Pt_R11_R7,-0.9405513924100798,0.7136130565943593,-0.22693833581572054,0.6652986217594016,-15.032212083486629,-15.1831938455292
Pt,R11_R8,R11,R8,Pt_R11_R8,-0.9405513924100798,-10.520879474540566,-11.461430866950646,0.6652986217594016,-15.032212083486629,-22.65748624265956
Pt,R11_R9,R11,R9,Pt_R11_R9,-0.9405513924100798,-13.438588550042265,-14.379139942452346,0.6652986217594016,-15.032212083486629,-24.598634069285737
Pt,R11_S1,R11,S1,Pt_R11_S1,-0.9405513924100798,-9.158255511374229,-10.09880690378431,0.6652986217594016,-15.032212083486629,-21.750934397988658
Pt,R11_S2,R11,S2,Pt_R11_S2,-0.9405513924100798,2.579258072832707,1.6387066804226271,0.6652986217594016,-15.032212083486629,-13.941982787533531
Pt,R11_S3,R11,S3,Pt_R11_S3,-0.9405513924100798,8.269724236093856,7.329172843683776,0.6652986217594016,-15.032212083486629,-10.15612349194738
Pt,R11_S4,R11,S4,Pt_R11_S4,-0.9405513924100798,6.926284812115375,5.985733419705295,0.6652986217594016,-15.032212083486629,-11.049911889137507
Pt,R11_S5,R11,S5,Pt_R11_S5,-0.9405513924100798,-1.6316010428853815,-2.5721524352954614,0.6652986217594016,-15.032212083486629,-16.743461553643787
Pt,R11_S6,R11,S6,Pt_R11_S6,-0.9405513924100798,8.035351954600149,7.094800562190069,0.6652986217594016,-15.032212083486629,-10.312051047803749
Pt,R2_R3,R2,R3,Pt_R2_R3,1.2786072800790809,-24.32260478842992,-23.04399750835084,0.6652986217594016,-15.032212083486629,-30.363351865619528
Pt,R2_R4,R2,R4,Pt_R2_R4,1.2786072800790809,0.42904203418192965,1.7076493142610105,0.6652986217594016,-15.032212083486629,-13.896115348260391
Pt,R2_R5,R2,R5,Pt_R2_R5,1.2786072800790809,1.2040603594134265,2.482667639492507,0.6652986217594016,-15.032212083486629,-13.380496724645596
Pt,R2_R6,R2,R6,Pt_R2_R6,1.2786072800790809,0.05186161340941125,1.330468893488492,0.6652986217594016,-15.032212083486629,-14.147052962354978
Pt,R2_R7,R2,R7,Pt_R2_R7,1.2786072800790809,0.7136130565943593,1.9922203366734401,0.6652986217594016,-15.032212083486629,-13.706790639256738
Pt,R2_R8,R2,R8,Pt_R2_R8,1.2786072800790809,-10.520879474540566,-9.242272194461485,0.6652986217594016,-15.032212083486629,-21.181083036387093
Pt,R2_R9,R2,R9,Pt_R2_R9,1.2786072800790809,-13.438588550042265,-12.159981269963184,0.6652986217594016,-15.032212083486629,-23.12223086301327
Pt,R2_S1,R2,S1,Pt_R2_S1,1.2786072800790809,-9.158255511374229,-7.879648231295148,0.6652986217594016,-15.032212083486629,-20.274531191716196
Pt,R2_S2,R2,S2,Pt_R2_S2,1.2786072800790809,2.579258072832707,3.8578653529117877,0.6652986217594016,-15.032212083486629,-12.46557958126107
Pt,R2_S3,R2,S3,Pt_R2_S3,1.2786072800790809,8.269724236093856,9.548331516172937,0.6652986217594016,-15.032212083486629,-8.679720285674918
Pt,R2_S4,R2,S4,Pt_R2_S4,1.2786072800790809,6.926284812115375,8.204892092194456,0.6652986217594016,-15.032212083486629,-9.573508682865043
Pt,R2_S5,R2,S5,Pt_R2_S5,1.2786072800790809,-1.6316010428853815,-0.3529937628063007,0.6652986217594016,-15.032212083486629,-15.267058347371325
Pt,R2_S6,R2,S6,Pt_R2_S6,1.2786072800790809,8.035351954600149,9.31395923467923,0.6652986217594016,-15.032212083486629,-8.835647841531287
Pt,R3_R4,R3,R4,Pt_R3_R4,-24.32260478842992,0.42904203418192965,-23.89356275424799,0.6652986217594016,-15.032212083486629,-30.92856645280959
Pt,R3_R5,R3,R5,Pt_R3_R5,-24.32260478842992,1.2040603594134265,-23.118544429016495,0.6652986217594016,-15.032212083486629,-30.412947829194792
Pt,R3_R6,R3,R6,Pt_R3_R6,-24.32260478842992,0.05186161340941125,-24.27074317502051,0.6652986217594016,-15.032212083486629,-31.179504066904173
Pt,R3_R7,R3,R7,Pt_R3_R7,-24.32260478842992,0.7136130565943593,-23.608991731835562,0.6652986217594016,-15.032212083486629,-30.739241743805934
Pt,R3_R8,R3,R8,Pt_R3_R8,-24.32260478842992,-10.520879474540566,-34.843484262970485,0.6652986217594016,-15.032212083486629,-38.21353414093629
Pt,R3_R9,R3,R9,Pt_R3_R9,-24.32260478842992,-13.438588550042265,-37.76119333847218,0.6652986217594016,-15.032212083486629,-40.15468196756247
Pt,R3_S1,R3,S1,Pt_R3_S1,-24.32260478842992,-9.158255511374229,-33.48086029980415,0.6652986217594016,-15.032212083486629,-37.306982296265396
Pt,R3_S2,R3,S2,Pt_R3_S2,-24.32260478842992,2.579258072832707,-21.743346715597212,0.6652986217594016,-15.032212083486629,-29.498030685810264
Pt,R3_S3,R3,S3,Pt_R3_S3,-24.32260478842992,8.269724236093856,-16.052880552336063,0.6652986217594016,-15.032212083486629,-25.712171390224114
Pt,R3_S4,R3,S4,Pt_R3_S4,-24.32260478842992,6.926284812115375,-17.396319976314544,0.6652986217594016,-15.032212083486629,-26.605959787414243
Pt,R3_S5,R3,S5,Pt_R3_S5,-24.32260478842992,-1.6316010428853815,-25.954205831315303,0.6652986217594016,-15.032212083486629,-32.29950945192052
Pt,R3_S6,R3,S6,Pt_R3_S6,-24.32260478842992,8.035351954600149,-16.287252833829772,0.6652986217594016,-15.032212083486629,-25.868098946080483
Pt,R4_R5,R4,R5,Pt_R4_R5,0.42904203418192965,1.2040603594134265,1.6331023935953561,0.6652986217594016,-15.032212083486629,-13.945711311835659
Pt,R4_R6,R4,R6,Pt_R4_R6,0.42904203418192965,0.05186161340941125,0.4809036475913409,0.6652986217594016,-15.032212083486629,-14.712267549545041
Pt,R4_R7,R4,R7,Pt_R4_R7,0.42904203418192965,0.7136130565943593,1.142655090776289,0.6652986217594016,-15.032212083486629,-14.2720052264468
Pt,R4_R8,R4,R8,Pt_R4_R8,0.42904203418192965,-10.520879474540566,-10.091837440358637,0.6652986217594016,-15.032212083486629,-21.746297623577156
Pt,R4_R9,R4,R9,Pt_R4_R9,0.42904203418192965,-13.438588550042265,-13.009546515860336,0.6652986217594016,-15.032212083486629,-23.687445450203334
